"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"TRAPPC10_chr21:+:44084121:44084263:44086801:44086960:44082787:44083302:44087698:44087928:8005","TRAPPC10_chr21:+:44084121:44084263:44086801:44086960:44082787:44083302:44087698:44087928:8005","MXE","ENSG00000160218.13","TRAPPC10",0.458,0.507,0.521,0.385,0.432,0.517,0.524,0.572,0.458,0.465,0.33,0.459,0.509,0.543,2.321258741,"SEED1"
"ZNF655_chr7:+:99562343:99562494:99562367:99562494:99561887:99561973:9378","ZNF655_chr7:+:99562343:99562494:99562367:99562494:99561887:99561973:9378","A3SS","ENSG00000197343.11","ZNF655",0.198,0.142,0.208,0.179,0.1,0.179,0.197,0.223,0.169,0.156,0.148,0.141,0.226,0.212,2.335044248,"SEED1"
"FAN1_chr15:+:30925788:30928656:30925788:30925939:30928552:30928656:5971","FAN1_chr15:+:30925788:30928656:30925788:30925939:30928552:30928656:5971","RI","ENSG00000198690.10","FAN1",0.182,0.263,0.176,0.225,0.197,0.271,0.333,0.399,0.294,0.167,0.22,0.248,0.317,0.32,2.339999999,"SEED1"
"CHCHD6_chr3:+:126852643:126852730:126852646:126852730:126733077:126733222:5377","CHCHD6_chr3:+:126852643:126852730:126852646:126852730:126733077:126733222:5377","A3SS","ENSG00000159685.11","CHCHD6",0.113,0.136,0.142,0.061,0.169,0.157,0.187,0.149,0.126,0.097,0.061,0.131,0.207,0.16,2.347246377,"SEED1"
"CAMSAP2_chr1:+:200847257:200847292:200847639:200847709:200844781:200844869:200848031:200850234:18897","CAMSAP2_chr1:+:200847257:200847292:200847639:200847709:200844781:200844869:200848031:200850234:18897","MXE","ENSG00000118200.15","CAMSAP2",0.236,0.136,0.147,0.175,0.188,0.138,0.217,0.207,0.12,0.088,0.162,0.108,0.225,0.167,2.367118644,"SEED1"
"GORASP1_chr3:-:39100304:39101102:39100304:39100877:39101015:39101102:3531","GORASP1_chr3:-:39100304:39101102:39100304:39100877:39101015:39101102:3531","RI","ENSG00000114745.15","GORASP1",0.185,0.081,0.154,0.075,0.096,0.141,0.224,0.202,0.165,0.119,0.077,0.161,0.115,0.133,2.369642855,"SEED1"
"ANAPC10_chr4:-:145081659:145081750:145095984:145096111:145064571:145064692:145098130:145098164:24596","ANAPC10_chr4:-:145081659:145081750:145095984:145096111:145064571:145064692:145098130:145098164:24596","MXE","ENSG00000164162.14","ANAPC10",0.337,0.23,0.221,0.134,0.195,0.224,0.163,0.242,0.173,0.178,0.188,0.27,0.369,0.201,2.379349593,"SEED1"
"MITD1_chr2:-:99169262:99169610:99169262:99169470:99169549:99169610:5357","MITD1_chr2:-:99169262:99169610:99169262:99169470:99169549:99169610:5357","RI","ENSG00000158411.11","MITD1",0.221,0.162,0.219,0.135,0.233,0.271,0.319,0.244,0.26,0.223,0.205,0.225,0.295,0.332,2.383132529,"SEED1"
"AGAP6_chr10:+:50001602:50001746:49994394:49994429:50001995:50002096:149894","AGAP6_chr10:+:50001602:50001746:49994394:49994429:50001995:50002096:149894","SE","ENSG00000204149.15","AGAP6",0.138,0.136,0.072,0.053,0.116,0.104,0.129,0.101,0.103,0.138,0.049,0.121,0.176,0.143,2.3875,"SEED1"
"EZH1_chr17:-:42713208:42713389:42717975:42718067:42712288:42712485:42718453:42718617:3559","EZH1_chr17:-:42713208:42713389:42717975:42718067:42712288:42712485:42718453:42718617:3559","MXE","ENSG00000108799.13","EZH1",0.557,0.487,0.509,0.312,0.481,0.549,0.592,0.465,0.474,0.453,0.457,0.448,0.547,0.557,2.39391892,"SEED1"
"TOGARAM1_chr14:+:45027298:45027474:45028175:45028329:45025782:45025872:45032222:45032376:20831","TOGARAM1_chr14:+:45027298:45027474:45028175:45028329:45025782:45025872:45032222:45032376:20831","MXE","ENSG00000198718.13","TOGARAM1",0.655,0.4,0.5,0.4,0.397,0.492,0.576,0.439,0.423,0.476,0.296,0.438,0.538,0.46,2.395267175,"SEED1"
"SMPD4_chr2:-:130161090:130161272:130161185:130161272:130157250:130157396:6951","SMPD4_chr2:-:130161090:130161272:130161185:130161272:130157250:130157396:6951","A5SS","ENSG00000136699.20","SMPD4",0.158,0.106,0.104,0.052,0.092,0.1,0.115,0.11,0.133,0.09,0.112,0.11,0.149,0.092,2.404050632,"SEED1"
"RNF146_chr6:+:127266863:127267044:127266863:127266925:127280230:127280340:8095","RNF146_chr6:+:127266863:127267044:127266863:127266925:127280230:127280340:8095","A5SS","ENSG00000118518.17","RNF146",0.333,0.255,0.31,0.15,0.253,0.441,0.37,0.381,0.304,0.29,0.209,0.258,0.325,0.341,2.406122449,"SEED1"
"DPH5_chr1:-:100995109:100995149:101001466:101001544:100992636:100992740:101021640:101021765:15043","DPH5_chr1:-:100995109:100995149:101001466:101001544:100992636:100992740:101021640:101021765:15043","MXE","ENSG00000117543.22","DPH5",0.19,0.18,0.116,0.147,0.134,0.151,0.125,0.158,0.17,0.091,0.146,0.156,0.176,0.253,2.40687747,"SEED1"
"LIN54_chr4:-:82946257:82946474:82978882:82979006:82939888:82939962:82984823:82984876:9044","LIN54_chr4:-:82946257:82946474:82978882:82979006:82939888:82939962:82984823:82984876:9044","MXE","ENSG00000189308.11","LIN54",0.23,0.149,0.135,0.153,0.063,0.213,0.214,0.199,0.191,0.176,0.187,0.149,0.174,0.288,2.410138888,"SEED1"
"ABCA7_chr19:+:1063759:1064253:1063759:1063863:1064160:1064253:902","ABCA7_chr19:+:1063759:1064253:1063759:1063863:1064160:1064253:902","RI","ENSG00000064687.13","ABCA7",0.41,0.308,0.376,0.265,0.2,0.357,0.429,0.377,0.357,0.315,0.234,0.39,0.374,0.326,2.416969695,"SEED1"
"PLEKHB2_chr2:+:131120933:131120978:131125752:131125905:131104846:131105398:131126683:131126786:24066","PLEKHB2_chr2:+:131120933:131120978:131125752:131125905:131104846:131105398:131126683:131126786:24066","MXE","ENSG00000115762.17","PLEKHB2",0.117,0.159,0.135,0.083,0.116,0.14,0.11,0.165,0.101,0.128,0.125,0.126,0.185,0.185,2.423243244,"SEED1"
"RMND1_chr6:-:151436419:151436554:151436445:151436554:151433154:151433230:8225","RMND1_chr6:-:151436419:151436554:151436445:151436554:151433154:151433230:8225","A5SS","ENSG00000155906.20","RMND1",0.111,0.22,0.174,0.109,0.14,0.156,0.29,0.205,0.204,0.194,0.121,0.13,0.296,0.178,2.423783784,"SEED1"
"NADSYN1_chr11:+:71460040:71460213:71458427:71458544:71460721:71460947:174005","NADSYN1_chr11:+:71460040:71460213:71458427:71458544:71460721:71460947:174005","SE","ENSG00000172890.13","NADSYN1",0.562,0.663,0.447,0.28,0.564,0.459,0.656,0.614,0.589,0.507,0.551,0.414,0.641,0.659,2.430648568,"SEED1"
"CCDC82_chr11:-:96387529:96389912:96387529:96387613:96389843:96389912:8167","CCDC82_chr11:-:96387529:96389912:96387529:96387613:96389843:96389912:8167","RI","ENSG00000149231.16","CCDC82",0.467,0.083,0.18,0.104,0.19,0.2,0.263,0.211,0.204,0.094,0.149,0.333,0.212,0.262,2.436745181,"SEED1"
"GUCD1_chr22:-:24547907:24548073:24548916:24549001:24546913:24547005:24555614:24555935:790","GUCD1_chr22:-:24547907:24548073:24548916:24549001:24546913:24547005:24555614:24555935:790","MXE","ENSG00000138867.17","GUCD1",0.207,0.217,0.176,0.168,0.135,0.183,0.202,0.294,0.233,0.16,0.188,0.184,0.272,0.196,2.445442176,"SEED1"
"ANAPC10_chr4:-:145064571:145064692:145095984:145096111:144995157:144995603:145098130:145098213:24591","ANAPC10_chr4:-:145064571:145064692:145095984:145096111:144995157:144995603:145098130:145098213:24591","MXE","ENSG00000164162.14","ANAPC10",0.359,0.292,0.258,0.132,0.156,0.233,0.224,0.244,0.198,0.216,0.189,0.264,0.32,0.177,2.458161559,"SEED1"
"ARHGAP44_chr17:+:12974088:12974310:12980057:12980233:12958716:12958897:12984530:12984908:3890","ARHGAP44_chr17:+:12974088:12974310:12980057:12980233:12958716:12958897:12984530:12984908:3890","MXE","ENSG00000006740.18","ARHGAP44",0.295,0.257,0.141,0.222,0.163,0.242,0.441,0.184,0.255,0.189,0.254,0.263,0.265,0.333,2.458956916,"SEED1"
"PVT1_chr8:+:128070161:128070272:128010317:128010444:128096517:128096654:139226","PVT1_chr8:+:128070161:128070272:128010317:128010444:128096517:128096654:139226","SE","ENSG00000249859.13","PVT1",0.286,0.226,0.32,0.2,0.281,0.347,0.5,0.435,0.299,0.294,0.279,0.324,0.319,0.301,2.462,"SEED1"
"COL25A1_chr4:-:108859655:108859733:108862500:108862545:108852901:108852925:108863318:108863387:8785","COL25A1_chr4:-:108859655:108859733:108862500:108862545:108852901:108852925:108863318:108863387:8785","MXE","ENSG00000188517.17","COL25A1",0.185,0.076,0.064,0.091,0.059,0.151,0.149,0.124,0.027,0.046,0.075,0.07,0.065,0.088,2.468108108,"SEED1"
"ATF2_chr2:-:175121443:175121540:175130137:175130207:175118250:175118369:175151059:175151158:20035","ATF2_chr2:-:175121443:175121540:175130137:175130207:175118250:175118369:175151059:175151158:20035","MXE","ENSG00000115966.18","ATF2",0.263,0.391,0.409,0.317,0.313,0.428,0.529,0.455,0.435,0.424,0.382,0.387,0.451,0.532,2.4681203,"SEED1"
"TMED8_chr14:-:77343696:77343823:77346348:77346478:77343177:77343483:77351672:77351751:24098","TMED8_chr14:-:77343696:77343823:77346348:77346478:77343177:77343483:77351672:77351751:24098","MXE","ENSG00000100580.8","TMED8",0.399,0.376,0.399,0.304,0.258,0.411,0.385,0.369,0.423,0.317,0.311,0.358,0.471,0.419,2.468407643,"SEED1"
"RFC4_chr3:-:186801116:186801195:186804582:186804724:186797534:186797614:186806424:186806471:17845","RFC4_chr3:-:186801116:186801195:186804582:186804724:186797534:186797614:186806424:186806471:17845","MXE","ENSG00000163918.12","RFC4",0.165,0.229,0.197,0.111,0.162,0.206,0.202,0.225,0.162,0.133,0.148,0.176,0.194,0.196,2.470393014,"SEED1"
"TAFAZZIN_chrX:+:154413206:154413567:154413206:154413252:154413481:154413567:397","TAFAZZIN_chrX:+:154413206:154413567:154413206:154413252:154413481:154413567:397","RI","ENSG00000102125.16","TAFAZZIN",0.038,0.069,0.084,0.062,0.027,0.058,0.151,0.085,0.071,0.068,0.03,0.064,0.085,0.113,2.474437086,"SEED1"
"NME7_chr1:-:169303144:169303195:169309969:169310080:169298555:169298763:169367707:169367797:20363","NME7_chr1:-:169303144:169303195:169309969:169310080:169298555:169298763:169367707:169367797:20363","MXE","ENSG00000143156.14","NME7",0.197,0.179,0.088,0.101,0.118,0.131,0.165,0.196,0.132,0.176,0.129,0.065,0.2,0.126,2.475,"SEED1"
"ENSG00000289027_chr7:-:92244001:92244149:92244901:92245134:92242033:92242137:92245789:92245924:31177","ENSG00000289027_chr7:-:92244001:92244149:92244901:92245134:92242033:92242137:92245789:92245924:31177","MXE","ENSG00000289027.1","ENSG00000289027",0.464,0.364,0.278,0.147,0.274,0.311,0.16,0.402,0.436,0.247,0.316,0.246,0.409,0.396,2.484310346,"SEED1"
"NR2C1_chr12:-:95057730:95058489:95057730:95057878:95058309:95058489:9049","NR2C1_chr12:-:95057730:95058489:95057730:95057878:95058309:95058489:9049","RI","ENSG00000120798.17","NR2C1",0.348,0.28,0.196,0.164,0.223,0.171,0.326,0.261,0.241,0.253,0.153,0.263,0.236,0.196,2.485632184,"SEED1"
"NFIC_chr19:+:3453762:3453916:3452481:3452666:3456549:3456635:44449","NFIC_chr19:+:3453762:3453916:3452481:3452666:3456549:3456635:44449","SE","ENSG00000141905.19","NFIC",0.385,0.263,0.257,0.188,0.253,0.32,0.343,0.393,0.306,0.289,0.317,0.241,0.283,0.264,2.493078879,"SEED1"
"DDX17_chr22:-:38487878:38492115:38487878:38488115:38492055:38492115:6122","DDX17_chr22:-:38487878:38492115:38487878:38488115:38492055:38492115:6122","RI","ENSG00000100201.23","DDX17",0.277,0.256,0.233,0.191,0.21,0.249,0.379,0.402,0.318,0.25,0.207,0.237,0.258,0.329,2.494328357,"SEED1"
"ZFAND2B_chr2:+:219208255:219208486:219208255:219208348:219208425:219208486:3613","ZFAND2B_chr2:+:219208255:219208486:219208255:219208348:219208425:219208486:3613","RI","ENSG00000158552.13","ZFAND2B",0.087,0.198,0.114,0.076,0.107,0.098,0.212,0.189,0.125,0.098,0.103,0.096,0.119,0.153,2.494905661,"SEED1"
"ODF2L_chr1:-:86385457:86387086:86385457:86385590:86386914:86387086:4222","ODF2L_chr1:-:86385457:86387086:86385457:86385590:86386914:86387086:4222","RI","ENSG00000122417.16","ODF2L",0.233,0.203,0.215,0.16,0.103,0.211,0.182,0.186,0.207,0.167,0.229,0.169,0.22,0.358,2.496536313,"SEED1"
"RMC1_chr18:+:23530228:23530612:23530228:23530297:23530386:23530612:5818","RMC1_chr18:+:23530228:23530612:23530228:23530297:23530386:23530612:5818","RI","ENSG00000141452.10","RMC1",0.164,0.165,0.152,0.09,0.18,0.153,0.224,0.178,0.17,0.239,0.081,0.158,0.23,0.152,2.496903763,"SEED1"
"ZNF655_chr7:+:99562348:99562494:99562367:99562494:99561887:99561973:9379","ZNF655_chr7:+:99562348:99562494:99562367:99562494:99561887:99561973:9379","A3SS","ENSG00000197343.11","ZNF655",0.196,0.161,0.16,0.213,0.086,0.177,0.154,0.219,0.175,0.131,0.153,0.124,0.233,0.187,2.497339056,"SEED1"
"PTPRM_chr18:+:8376461:8378414:8376461:8376597:8378264:8378414:938","PTPRM_chr18:+:8376461:8378414:8376461:8376597:8378264:8378414:938","RI","ENSG00000173482.17","PTPRM",0.253,0.219,0.212,0.22,0.091,0.099,0.133,0.225,0.236,0.19,0.182,0.128,0.1,0.168,1.441699604,"SEED2"
"NEPRO_chr3:-:113012733:113013403:113012733:113012811:113013271:113013403:8183","NEPRO_chr3:-:113012733:113013403:113012733:113012811:113013271:113013403:8183","RI","ENSG00000163608.15","NEPRO",0.135,0.067,0.076,0.074,0.031,0.052,0.064,0.06,0.107,0.1,0.062,0.055,0.061,0.066,1.472222223,"SEED2"
"PSRC1_chr1:-:109280776:109281251:109280776:109281046:109281136:109281251:4178","PSRC1_chr1:-:109280776:109281251:109280776:109281046:109281136:109281251:4178","RI","ENSG00000134222.16","PSRC1",0.539,0.53,0.408,0.361,0.221,0.151,0.212,0.417,0.419,0.378,0.289,0.236,0.253,0.469,1.497495361,"SEED2"
"SUN2_chr22:-:38740266:38741050:38740266:38740432:38741006:38741050:258","SUN2_chr22:-:38740266:38741050:38740266:38740432:38741006:38741050:258","RI","ENSG00000100242.16","SUN2",0.291,0.231,0.136,0.14,0.077,0.125,0.175,0.261,0.192,0.156,0.139,0.123,0.119,0.204,1.592268041,"SEED2"
"SLC17A9_chr20:+:62962623:62963369:62962623:62962754:62963272:62963369:6836","SLC17A9_chr20:+:62962623:62963369:62962623:62962754:62963272:62963369:6836","RI","ENSG00000101194.18","SLC17A9",0.446,0.459,0.345,0.218,0.138,0.173,0.202,0.273,0.319,0.339,0.283,0.299,0.301,0.287,1.660675381,"SEED2"
"EEF1D_chr8:-:143590607:143590735:143589694:143590081:143592646:143592893:140144","EEF1D_chr8:-:143590607:143590735:143589694:143590081:143592646:143592893:140144","SE","ENSG00000104529.19","EEF1D",0.803,0.655,0.629,0.526,0.38,0.289,0.236,0.537,0.691,0.576,0.477,0.404,0.363,0.544,1.672166875,"SEED2"
"SUN2_chr22:-:38740888:38741050:38741006:38741050:38740266:38740432:246","SUN2_chr22:-:38740888:38741050:38741006:38741050:38740266:38740432:246","A5SS","ENSG00000100242.16","SUN2",0.235,0.167,0.092,0.08,0.057,0.095,0.119,0.193,0.119,0.101,0.109,0.09,0.082,0.13,1.701063831,"SEED2"
"NEDD4L_chr18:+:58335477:58335537:58342905:58343103:58333817:58333892:58349536:58349614:22491","NEDD4L_chr18:+:58335477:58335537:58342905:58343103:58333817:58333892:58349536:58349614:22491","MXE","ENSG00000049759.20","NEDD4L",0.222,0.194,0.156,0.142,0.112,0.118,0.138,0.15,0.164,0.169,0.132,0.132,0.104,0.078,1.717567566,"SEED2"
"SPHK1_chr17:+:76385450:76386137:76385450:76385654:76385984:76386137:1006","SPHK1_chr17:+:76385450:76386137:76385450:76385654:76385984:76386137:1006","RI","ENSG00000176170.14","SPHK1",0.373,0.422,0.323,0.29,0.164,0.22,0.378,0.369,0.341,0.29,0.267,0.194,0.269,0.305,1.722511848,"SEED2"
"KAT2A_chr17:-:42119053:42119436:42119244:42119436:42118296:42118403:8316","KAT2A_chr17:-:42119053:42119436:42119244:42119436:42118296:42118403:8316","A5SS","ENSG00000108773.11","KAT2A",0.205,0.247,0.211,0.149,0.126,0.08,0.098,0.167,0.21,0.205,0.168,0.13,0.144,0.147,1.75283401,"SEED2"
"EEF1D_chr8:-:143590607:143590738:143588990:143590081:143592646:143592797:140152","EEF1D_chr8:-:143590607:143590738:143588990:143590081:143592646:143592797:140152","SE","ENSG00000104529.19","EEF1D",0.81,0.672,0.641,0.561,0.45,0.327,0.253,0.546,0.712,0.613,0.533,0.451,0.387,0.556,1.812962963,"SEED2"
"HNRNPH1_chr5:-:179620891:179621397:179620891:179621035:179621241:179621397:2887","HNRNPH1_chr5:-:179620891:179621397:179620891:179621035:179621241:179621397:2887","RI","ENSG00000169045.17","HNRNPH1",0.133,0.11,0.104,0.107,0.064,0.067,0.095,0.137,0.168,0.124,0.109,0.102,0.097,0.101,1.840476189,"SEED2"
"TROAP_chr12:+:49330144:49331407:49330144:49330943:49331213:49331407:6507","TROAP_chr12:+:49330144:49331407:49330144:49330943:49331213:49331407:6507","RI","ENSG00000135451.13","TROAP",0.478,0.513,0.475,0.364,0.255,0.244,0.314,0.491,0.505,0.425,0.398,0.383,0.425,0.435,1.849025342,"SEED2"
"C2CD2L_chr11:+:119112481:119112609:119112699:119112874:119112327:119112392:119113610:119113712:8348","C2CD2L_chr11:+:119112481:119112609:119112699:119112874:119112327:119112392:119113610:119113712:8348","MXE","ENSG00000172375.14","C2CD2L",0.389,0.394,0.384,0.346,0.389,0.273,0.319,0.432,0.481,0.465,0.361,0.208,0.343,0.352,1.852286902,"SEED2"
"NBPF11_chr1:-:148124898:148125001:148123852:148124067:148126828:148127038:69649","NBPF11_chr1:-:148124898:148125001:148123852:148124067:148126828:148127038:69649","SE","ENSG00000263956.8","NBPF11",0.4,0.444,0.37,0.341,0.225,0.317,0.352,0.392,0.44,0.359,0.344,0.379,0.259,0.424,1.868018018,"SEED2"
"FAM172A_chr5:-:93958776:93958968:93964457:93964523:93881469:93881688:94053125:94053227:35297","FAM172A_chr5:-:93958776:93958968:93964457:93964523:93881469:93881688:94053125:94053227:35297","MXE","ENSG00000113391.19","FAM172A",0.187,0.247,0.179,0.066,0.067,0.115,0.151,0.128,0.153,0.138,0.133,0.091,0.046,0.109,1.881578947,"SEED2"
"FAM172A_chr5:-:93881469:93881688:93964457:93964523:93824147:93824267:94053125:94053227:35293","FAM172A_chr5:-:93881469:93881688:93964457:93964523:93824147:93824267:94053125:94053227:35293","MXE","ENSG00000113391.19","FAM172A",0.34,0.238,0.258,0.091,0.064,0.124,0.118,0.199,0.104,0.134,0.087,0.066,0.028,0.092,1.888235292,"SEED2"
"RANGAP1_chr22:-:41280932:41281212:41280932:41281082:41285543:41285965:378","RANGAP1_chr22:-:41280932:41281212:41280932:41281082:41285543:41285965:378","A3SS","ENSG00000100401.20","RANGAP1",0.39,0.363,0.385,0.333,0.196,0.248,0.238,0.417,0.446,0.391,0.385,0.333,0.27,0.379,1.907847533,"SEED2"
"TMEM175_chr4:+:948115:948615:948115:948154:950420:950518:6157","TMEM175_chr4:+:948115:948615:948115:948154:950420:950518:6157","A5SS","ENSG00000127419.17","TMEM175",0.136,0.151,0.113,0.125,0.106,0.076,0.067,0.124,0.195,0.2,0.093,0.111,0.061,0.143,1.915,"SEED2"
"MTG1_chr10:+:133401528:133402245:133401528:133401590:133402148:133402245:8383","MTG1_chr10:+:133401528:133402245:133401528:133401590:133402148:133402245:8383","RI","ENSG00000148824.19","MTG1",0.193,0.16,0.153,0.13,0.084,0.101,0.14,0.212,0.187,0.134,0.175,0.124,0.162,0.15,1.932075471,"SEED2"
